Year,Round,RaceName,Driver,Team,SprintPosition,SprintGrid,SprintPoints,Status,Laps,Finished,ShootoutPosition,SprintAvgLapTime,MainQualiTime,SprintPaceDelta,Driver_encoded,Team_encoded,Circuit_encoded,Driver_Sprint_Avg_Last3,Team_Sprint_Avg_Last3,MainRace_Avg_Last5,Team_Championship_Points
2021,10,British Grand Prix,VER,Red Bull Racing,1.0,2.0,3.0,Finished,17.0,1,1.0,90.3708125,86.209,-0.0189040459898578,33,14,6,10.480167014613778,10.480167014613778,2.4,790.0
2021,10,British Grand Prix,HAM,Mercedes,2.0,1.0,2.0,Finished,17.0,1,2.0,90.388375,86.134,-0.0178515073494542,12,11,6,10.480167014613778,10.480167014613778,10.0,604.5
2021,10,British Grand Prix,BOT,Mercedes,3.0,3.0,1.0,Finished,17.0,1,3.0,90.7175625,86.328,-0.0165386841088607,5,11,6,10.480167014613778,2.0,15.8,604.5
2021,10,British Grand Prix,LEC,Ferrari,4.0,4.0,0.0,Finished,17.0,1,4.0,90.8916875,86.828,-0.020418690367622,17,7,6,10.480167014613778,10.480167014613778,7.6,595.0
2021,10,British Grand Prix,NOR,McLaren,5.0,6.0,0.0,Finished,17.0,1,5.0,91.56143749999998,86.897,-0.0139983788759496,22,10,6,10.480167014613778,10.480167014613778,6.4,775.0
2021,10,British Grand Prix,RIC,McLaren,6.0,7.0,0.0,Finished,17.0,1,6.0,91.915125,86.899,-0.0102114533706552,27,10,6,10.480167014613778,5.0,13.2,775.0
2021,10,British Grand Prix,ALO,Alpine,7.0,11.0,0.0,Finished,17.0,1,7.0,92.82525,,0.0,1,3,6,10.480167014613778,10.480167014613778,11.2,170.0
2021,10,British Grand Prix,VET,Aston Martin,8.0,10.0,0.0,Finished,17.0,1,8.0,92.7165625,87.179,-0.004801497043013,34,4,6,10.480167014613778,10.480167014613778,9.8,266.0
2021,10,British Grand Prix,RUS,Williams,9.0,8.0,0.0,Finished,17.0,1,9.0,92.808,86.971,-0.001422156804997,28,15,6,10.480167014613778,10.480167014613778,3.6,124.0
2021,10,British Grand Prix,OCO,Alpine,10.0,13.0,0.0,Finished,17.0,1,10.0,92.84,,0.0,23,3,6,10.480167014613778,7.0,10.8,170.0
